bucket,entry_id,field_path,repo_url,commit,cache_path,checkout_cmd,old_file,old_line,new_file,new_line,status_or_reason,strategy,pass,notes
fixed_neighborhood,entry-00251,trace[3],https://github.com/openclaw/openclaw,223d7dc23d73bdddd7d221d7ddbecafe5d03bfcb,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 223d7dc23d73bdddd7d221d7ddbecafe5d03bfcb",src/auto-reply/command-auth.ts,325,src/auto-reply/command-auth.ts,326,neighborhood_pm5,neighborhood_pm5,yes,human_confirmed_plus_code_matches
fixed_neighborhood,entry-00312,critical_operation,https://github.com/openclaw/openclaw,ae1a1fccfeac598a747a9b4a6c9871c93061229c,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force ae1a1fccfeac598a747a9b4a6c9871c93061229c",src/infra/device-bootstrap.ts,125,src/infra/device-bootstrap.ts,128,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_neighborhood,entry-00405,entry_point,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 7ce2670043dbb29aa18cb123c04be4b5097b16cb",src/node-host/invoke-system-run.ts,619,src/node-host/invoke-system-run.ts,614-624,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_range_expand,entry-00125,critical_operation,https://github.com/openclaw/openclaw,54513f4240661eb2e1bec49fbea1b7eb009a863e,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 54513f4240661eb2e1bec49fbea1b7eb009a863e",src/gateway/server-http.ts,218,src/gateway/server-http.ts,218-221,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_range_expand,entry-00127,critical_operation,https://github.com/openclaw/openclaw,e4f7155369e0789a95836cd77d6452848f98f804,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force e4f7155369e0789a95836cd77d6452848f98f804",src/browser/extension-relay.ts,447,src/browser/extension-relay.ts,447-456,whole_file,whole_file,yes,code_matches_at_new_location
fixed_range_expand,entry-00134,entry_point,https://github.com/openclaw/openclaw,8dd60fc7d9efb86557ddb249d9b25cbb1ef2d397,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 8dd60fc7d9efb86557ddb249d9b25cbb1ef2d397",extensions/bluebubbles/src/monitor.ts,1444,extensions/bluebubbles/src/monitor.ts,1444-1449,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_range_expand,entry-00148,entry_point,https://github.com/openclaw/openclaw,9dce3d8bf83f13c067bc3c32291643d2f1f10a06,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 9dce3d8bf83f13c067bc3c32291643d2f1f10a06",extensions/googlechat/src/monitor.ts,148,extensions/googlechat/src/monitor.ts,148-150,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_range_expand,entry-00229,entry_point,https://github.com/openclaw/openclaw,c070be1bc4d0d25f2be1c0d1ff0702fb5fc56efd,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force c070be1bc4d0d25f2be1c0d1ff0702fb5fc56efd",src/agents/apply-patch.ts,80,src/agents/apply-patch.ts,80-82,neighborhood_pm5,neighborhood_pm5,yes,code_matches_at_new_location
fixed_range_expand,entry-00248,critical_operation,https://github.com/openclaw/openclaw,204d9fb404838221df19cc46b30e4cf53209d038,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 204d9fb404838221df19cc46b30e4cf53209d038",src/infra/exec-approvals-allowlist.ts,159,src/infra/exec-approvals-allowlist.ts,159-167,whole_file,whole_file,yes,code_matches_at_new_location
fixed_whole_file,entry-00300,trace[0],https://github.com/openclaw/openclaw,fda49658183dc1afee48143f4de47dedc7590966,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force fda49658183dc1afee48143f4de47dedc7590966",src/auto-reply/reply/commands-config.ts,134,src/auto-reply/reply/commands-config.ts,196,whole_file,whole_file,yes,code_matches_at_new_location
fixed_whole_file,entry-00398,trace[5],https://github.com/openclaw/openclaw,55cd272fe1a6822ec9be91022a257f195fe1639a,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 55cd272fe1a6822ec9be91022a257f195fe1639a",src/auto-reply/reply/directive-handling.impl.ts,413-421,src/auto-reply/reply/directive-handling.impl.ts,407-413,whole_file,whole_file,yes,code_matches_at_new_location
human_no_unique,entry-00164,trace[0],https://github.com/openclaw/openclaw,3b56a6252bbc4dcf3d3c68a5e3cbb0e1162e58a9,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force 3b56a6252bbc4dcf3d3c68a5e3cbb0e1162e58a9",src/browser/routes/basic.ts,7,,,no_unique_match_in_file_or_missing_file,,yes,human_reason_ok:no_unique_match_in_file_or_missing_file
human_no_unique,entry-00193,entry_point,https://github.com/openclaw/openclaw,bc507080577c620243617e8fadd294bec3efa252,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force bc507080577c620243617e8fadd294bec3efa252",src/agents/apply-patch.ts,84,,,no_unique_match_in_file_or_missing_file,,yes,human_reason_ok:no_unique_match_in_file_or_missing_file
human_no_unique,entry-00298,trace[0],https://github.com/openclaw/openclaw,fda49658183dc1afee48143f4de47dedc7590966,.repo_cache/openclaw__openclaw,"git -C "".repo_cache/openclaw__openclaw"" checkout --force fda49658183dc1afee48143f4de47dedc7590966",src/auto-reply/reply/commands-config.ts,134,,,no_unique_match_in_file_or_missing_file,,yes,human_reason_ok:no_unique_match_in_file_or_missing_file
human_degenerate,entry-00082,trace[1],https://github.com/n8n-io/n8n,008cd8d08369ad188625fb5efaa6fa3707c1548e,.repo_cache/n8n-io__n8n,"git -C "".repo_cache/n8n-io__n8n"" checkout --force 008cd8d08369ad188625fb5efaa6fa3707c1548e",packages/workflow/src/expression.ts,205,,,degenerate_snippet,,yes,degenerate_confirmed
human_degenerate,entry-00103,entry_point,https://github.com/n8n-io/n8n,57d6015f2ea0442c24e0449105325b7e36f066df,.repo_cache/n8n-io__n8n,"git -C "".repo_cache/n8n-io__n8n"" checkout --force 57d6015f2ea0442c24e0449105325b7e36f066df",packages/cli/src/webhooks/webhook-helpers.ts,615,,,degenerate_snippet,,yes,degenerate_confirmed
human_fetch_failed,entry-00097,*,https://github.com/Significant-Gravitas/AutoGPT,f0c25036082a5e53650ae7230bcfcf9309bbb5d5,.repo_cache/Significant-Gravitas__AutoGPT,"git -C "".repo_cache/Significant-Gravitas__AutoGPT"" checkout --force f0c25036082a5e53650ae7230bcfcf9309bbb5d5",,,,,"repo_fetch_failed:Command '['git', 'checkout', '--force', 'f0c25036082a5e53650ae7230bcfcf9309bbb5d5']' returned non-zero exit status 128.",,yes,fetch_failed_false_positive_longpaths_documented
priority:degenerate_snippet,entry-00103,trace[0],https://github.com/n8n-io/n8n,57d6015f2ea0442c24e0449105325b7e36f066df,.repo_cache/n8n-io__n8n,"git -C "".repo_cache/n8n-io__n8n"" checkout --force 57d6015f2ea0442c24e0449105325b7e36f066df",packages/cli/src/webhooks/webhook-helpers.ts,615,,,degenerate_snippet,,yes,degenerate_correctly_queued_not_auto_fixed
priority:degenerate_snippet,entry-00185,critical_operation,https://github.com/n8n-io/n8n,538181cbe32a92616df5e00d7ffaf4d568557f4f,.repo_cache/n8n-io__n8n,"git -C "".repo_cache/n8n-io__n8n"" checkout --force 538181cbe32a92616df5e00d7ffaf4d568557f4f",packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,,,degenerate_snippet,,yes,degenerate_correctly_queued_not_auto_fixed
priority:degenerate_snippet,entry-00185,trace[3],https://github.com/n8n-io/n8n,538181cbe32a92616df5e00d7ffaf4d568557f4f,.repo_cache/n8n-io__n8n,"git -C "".repo_cache/n8n-io__n8n"" checkout --force 538181cbe32a92616df5e00d7ffaf4d568557f4f",packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,,,degenerate_snippet,,yes,degenerate_correctly_queued_not_auto_fixed
