entry_id,field_path,old_file,old_line,new_file,new_line,status,reason,strategy
entry-00125,critical_operation,src/gateway/server-http.ts,218,src/gateway/server-http.ts,218-221,fixed,neighborhood_pm5,neighborhood_pm5
entry-00125,trace[4],src/gateway/hooks.ts,278,src/gateway/hooks.ts,278-281,fixed,neighborhood_pm5,neighborhood_pm5
entry-00125,trace[5],src/gateway/hooks.ts,302,src/gateway/hooks.ts,302-316,fixed,whole_file,whole_file
entry-00127,critical_operation,src/browser/extension-relay.ts,447,src/browser/extension-relay.ts,447-456,fixed,whole_file,whole_file
entry-00127,trace[1],src/browser/extension-relay.ts,431,src/browser/extension-relay.ts,431-434,fixed,neighborhood_pm5,neighborhood_pm5
entry-00127,trace[3],src/browser/extension-relay.ts,452,src/browser/extension-relay.ts,452-454,fixed,neighborhood_pm5,neighborhood_pm5
entry-00127,trace[4],src/browser/extension-relay.ts,592,src/browser/extension-relay.ts,592-593,fixed,neighborhood_pm5,neighborhood_pm5
entry-00127,trace[6],src/browser/extension-relay.ts,297,src/browser/extension-relay.ts,297-307,fixed,whole_file,whole_file
entry-00134,entry_point,extensions/bluebubbles/src/monitor.ts,1444,extensions/bluebubbles/src/monitor.ts,1444-1449,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,critical_operation,extensions/bluebubbles/src/monitor.ts,1536,extensions/bluebubbles/src/monitor.ts,1536-1539,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[0],extensions/bluebubbles/src/monitor.ts,1444,extensions/bluebubbles/src/monitor.ts,1444-1445,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[1],extensions/bluebubbles/src/monitor.ts,1521,extensions/bluebubbles/src/monitor.ts,1521-1525,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[2],extensions/bluebubbles/src/monitor.ts,1526,extensions/bluebubbles/src/monitor.ts,1526-1533,fixed,whole_file,whole_file
entry-00134,trace[3],extensions/bluebubbles/src/monitor.ts,1533,extensions/bluebubbles/src/monitor.ts,1533-1534,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[4],extensions/bluebubbles/src/monitor.ts,1536,extensions/bluebubbles/src/monitor.ts,1536-1538,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[5],extensions/bluebubbles/src/monitor.ts,1552,extensions/bluebubbles/src/monitor.ts,1552-1553,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[6],extensions/bluebubbles/src/monitor.ts,1563,extensions/bluebubbles/src/monitor.ts,1563-1564,fixed,neighborhood_pm5,neighborhood_pm5
entry-00134,trace[7],extensions/bluebubbles/src/monitor.ts,2203,extensions/bluebubbles/src/monitor.ts,2203-2205,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,entry_point,extensions/googlechat/src/monitor.ts,148,extensions/googlechat/src/monitor.ts,148-150,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,critical_operation,extensions/googlechat/src/monitor.ts,273,extensions/googlechat/src/monitor.ts,273-277,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,trace[0],extensions/googlechat/src/monitor.ts,152,extensions/googlechat/src/monitor.ts,152-153,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,trace[2],extensions/googlechat/src/monitor.ts,247,extensions/googlechat/src/monitor.ts,247-249,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,trace[5],extensions/googlechat/src/monitor.ts,255,extensions/googlechat/src/monitor.ts,255-259,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,trace[6],extensions/googlechat/src/monitor.ts,260,extensions/googlechat/src/monitor.ts,260-263,fixed,neighborhood_pm5,neighborhood_pm5
entry-00148,trace[7],extensions/googlechat/src/monitor.ts,266,extensions/googlechat/src/monitor.ts,266-270,fixed,neighborhood_pm5,neighborhood_pm5
entry-00229,entry_point,src/agents/apply-patch.ts,80,src/agents/apply-patch.ts,80-82,fixed,neighborhood_pm5,neighborhood_pm5
entry-00229,critical_operation,src/agents/apply-patch.ts,258,src/agents/apply-patch.ts,258-266,fixed,whole_file,whole_file
entry-00229,trace[1],src/agents/pi-tools.ts,405,src/agents/pi-tools.ts,405-415,fixed,whole_file,whole_file
entry-00229,trace[2],src/agents/apply-patch.ts,105,src/agents/apply-patch.ts,105-110,fixed,neighborhood_pm5,neighborhood_pm5
entry-00229,trace[4],src/agents/apply-patch.ts,149,src/agents/apply-patch.ts,149-151,fixed,neighborhood_pm5,neighborhood_pm5
entry-00229,trace[5],src/agents/apply-patch.ts,253,src/agents/apply-patch.ts,253-258,fixed,neighborhood_pm5,neighborhood_pm5
entry-00248,critical_operation,src/infra/exec-approvals-allowlist.ts,159,src/infra/exec-approvals-allowlist.ts,159-167,fixed,whole_file,whole_file
entry-00248,trace[0],src/node-host/invoke-system-run.ts,304,src/node-host/invoke-system-run.ts,304-308,fixed,neighborhood_pm5,neighborhood_pm5
entry-00248,trace[1],src/infra/exec-command-resolution.ts,51,src/infra/exec-command-resolution.ts,51-61,fixed,whole_file,whole_file
entry-00248,trace[2],src/infra/exec-command-resolution.ts,121,src/infra/exec-command-resolution.ts,121-122,fixed,neighborhood_pm5,neighborhood_pm5
entry-00248,trace[4],src/node-host/invoke-system-run.ts,465,src/node-host/invoke-system-run.ts,465-470,fixed,neighborhood_pm5,neighborhood_pm5
entry-00251,trace[3],src/auto-reply/command-auth.ts,325,src/auto-reply/command-auth.ts,326,fixed,neighborhood_pm5,neighborhood_pm5
entry-00300,trace[0],src/auto-reply/reply/commands-config.ts,134,src/auto-reply/reply/commands-config.ts,196,fixed,whole_file,whole_file
entry-00300,trace[1],src/auto-reply/reply/command-gates.ts,8,src/auto-reply/reply/command-gates.ts,8-14,fixed,whole_file,whole_file
entry-00305,critical_operation,src/agents/tools/session-status-tool.ts,387,src/agents/tools/session-status-tool.ts,387-393,fixed,whole_file,whole_file
entry-00305,trace[0],src/agents/tools/session-status-tool.ts,215,src/agents/tools/session-status-tool.ts,215-217,fixed,neighborhood_pm5,neighborhood_pm5
entry-00305,trace[1],src/agents/tools/session-status-tool.ts,227,src/agents/tools/session-status-tool.ts,227-231,fixed,neighborhood_pm5,neighborhood_pm5
entry-00305,trace[2],src/agents/tools/session-status-tool.ts,357,src/agents/tools/session-status-tool.ts,357-362,fixed,neighborhood_pm5,neighborhood_pm5
entry-00305,trace[3],src/agents/tools/session-status-tool.ts,387,src/agents/tools/session-status-tool.ts,387-393,fixed,whole_file,whole_file
entry-00311,trace[0],src/fastmcp/server/auth/auth.py,131,src/fastmcp/server/auth/auth.py,131-134,fixed,neighborhood_pm5,neighborhood_pm5
entry-00312,critical_operation,src/infra/device-bootstrap.ts,125,src/infra/device-bootstrap.ts,128,fixed,neighborhood_pm5,neighborhood_pm5
entry-00312,trace[4],src/infra/device-bootstrap.ts,125,src/infra/device-bootstrap.ts,128,fixed,neighborhood_pm5,neighborhood_pm5
entry-00314,critical_operation,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,139,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,139-141,fixed,neighborhood_pm5,neighborhood_pm5
entry-00314,trace[3],airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,130,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,130-133,fixed,neighborhood_pm5,neighborhood_pm5
entry-00314,trace[4],airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,134,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,134-137,fixed,neighborhood_pm5,neighborhood_pm5
entry-00314,trace[5],airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,142,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,142-143,fixed,neighborhood_pm5,neighborhood_pm5
entry-00315,critical_operation,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111-113,fixed,neighborhood_pm5,neighborhood_pm5
entry-00315,trace[4],airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111-113,fixed,neighborhood_pm5,neighborhood_pm5
entry-00371,critical_operation,src/infra/device-pairing.ts,346,src/infra/device-pairing.ts,346-354,fixed,whole_file,whole_file
entry-00371,trace[4],src/infra/device-pairing.ts,336,src/infra/device-pairing.ts,336-344,fixed,whole_file,whole_file
entry-00371,trace[5],src/infra/device-pairing.ts,346,src/infra/device-pairing.ts,346-354,fixed,whole_file,whole_file
entry-00398,trace[5],src/auto-reply/reply/directive-handling.impl.ts,413-421,src/auto-reply/reply/directive-handling.impl.ts,407-413,fixed,whole_file,whole_file
entry-00400,critical_operation,src/auto-reply/reply/session.ts,254,src/auto-reply/reply/session.ts,254-258,fixed,neighborhood_pm5,neighborhood_pm5
entry-00401,critical_operation,backend/open_webui/routers/tools.py,652,backend/open_webui/routers/tools.py,652-653,fixed,neighborhood_pm5,neighborhood_pm5
entry-00402,entry_point,src/agents/bash-tools.exec-host-gateway.ts,77,src/agents/bash-tools.exec-host-gateway.ts,77-90,fixed,whole_file,whole_file
entry-00402,critical_operation,src/infra/exec-approvals-allowlist.ts,458,src/infra/exec-approvals-allowlist.ts,458-470,fixed,whole_file,whole_file
entry-00402,trace[0],src/agents/bash-tools.exec-host-gateway.ts,256,src/agents/bash-tools.exec-host-gateway.ts,256-271,fixed,whole_file,whole_file
entry-00402,trace[1],src/agents/bash-tools.exec-host-gateway.ts,265,src/agents/bash-tools.exec-host-gateway.ts,265-269,fixed,neighborhood_pm5,neighborhood_pm5
entry-00402,trace[2],src/infra/exec-approvals-allowlist.ts,567,src/infra/exec-approvals-allowlist.ts,567-582,fixed,whole_file,whole_file
