rule,entry_id,field_path,class,old_file,old_line,new_file,new_line,strategy,note
R2b,entry-00125,critical_operation,range_expand_same_start,src/gateway/server-http.ts,218,src/gateway/server-http.ts,218-221,neighborhood_pm5,idempotent_ok
R2b,entry-00125,trace[4],range_expand_same_start,src/gateway/hooks.ts,278,src/gateway/hooks.ts,278-281,neighborhood_pm5,idempotent_ok
R2b,entry-00125,trace[5],range_expand_same_start,src/gateway/hooks.ts,302,src/gateway/hooks.ts,302-316,whole_file,idempotent_ok
R2b,entry-00127,critical_operation,range_expand_same_start,src/browser/extension-relay.ts,447,src/browser/extension-relay.ts,447-456,whole_file,idempotent_ok
R2b,entry-00127,trace[1],range_expand_same_start,src/browser/extension-relay.ts,431,src/browser/extension-relay.ts,431-434,neighborhood_pm5,idempotent_ok
R2b,entry-00127,trace[3],range_expand_same_start,src/browser/extension-relay.ts,452,src/browser/extension-relay.ts,452-454,neighborhood_pm5,idempotent_ok
R2b,entry-00127,trace[4],range_expand_same_start,src/browser/extension-relay.ts,592,src/browser/extension-relay.ts,592-593,neighborhood_pm5,idempotent_ok
R2b,entry-00127,trace[6],range_expand_same_start,src/browser/extension-relay.ts,297,src/browser/extension-relay.ts,297-307,whole_file,idempotent_ok
R2b,entry-00134,critical_operation,range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1536,extensions/bluebubbles/src/monitor.ts,1536-1539,neighborhood_pm5,idempotent_ok
R2b,entry-00134,entry_point,range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1444,extensions/bluebubbles/src/monitor.ts,1444-1449,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[0],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1444,extensions/bluebubbles/src/monitor.ts,1444-1445,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[1],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1521,extensions/bluebubbles/src/monitor.ts,1521-1525,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[2],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1526,extensions/bluebubbles/src/monitor.ts,1526-1533,whole_file,idempotent_ok
R2b,entry-00134,trace[3],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1533,extensions/bluebubbles/src/monitor.ts,1533-1534,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[4],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1536,extensions/bluebubbles/src/monitor.ts,1536-1538,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[5],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1552,extensions/bluebubbles/src/monitor.ts,1552-1553,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[6],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,1563,extensions/bluebubbles/src/monitor.ts,1563-1564,neighborhood_pm5,idempotent_ok
R2b,entry-00134,trace[7],range_expand_same_start,extensions/bluebubbles/src/monitor.ts,2203,extensions/bluebubbles/src/monitor.ts,2203-2205,neighborhood_pm5,idempotent_ok
R2b,entry-00148,critical_operation,range_expand_same_start,extensions/googlechat/src/monitor.ts,273,extensions/googlechat/src/monitor.ts,273-277,neighborhood_pm5,idempotent_ok
R2b,entry-00148,entry_point,range_expand_same_start,extensions/googlechat/src/monitor.ts,148,extensions/googlechat/src/monitor.ts,148-150,neighborhood_pm5,idempotent_ok
R2b,entry-00148,trace[0],range_expand_same_start,extensions/googlechat/src/monitor.ts,152,extensions/googlechat/src/monitor.ts,152-153,neighborhood_pm5,idempotent_ok
R2b,entry-00148,trace[2],range_expand_same_start,extensions/googlechat/src/monitor.ts,247,extensions/googlechat/src/monitor.ts,247-249,neighborhood_pm5,idempotent_ok
R2b,entry-00148,trace[5],range_expand_same_start,extensions/googlechat/src/monitor.ts,255,extensions/googlechat/src/monitor.ts,255-259,neighborhood_pm5,idempotent_ok
R2b,entry-00148,trace[6],range_expand_same_start,extensions/googlechat/src/monitor.ts,260,extensions/googlechat/src/monitor.ts,260-263,neighborhood_pm5,idempotent_ok
R2b,entry-00148,trace[7],range_expand_same_start,extensions/googlechat/src/monitor.ts,266,extensions/googlechat/src/monitor.ts,266-270,neighborhood_pm5,idempotent_ok
R2b,entry-00229,critical_operation,range_expand_same_start,src/agents/apply-patch.ts,258,src/agents/apply-patch.ts,258-266,whole_file,idempotent_ok
R2b,entry-00229,entry_point,range_expand_same_start,src/agents/apply-patch.ts,80,src/agents/apply-patch.ts,80-82,neighborhood_pm5,idempotent_ok
R2b,entry-00229,trace[1],range_expand_same_start,src/agents/pi-tools.ts,405,src/agents/pi-tools.ts,405-415,whole_file,idempotent_ok
R2b,entry-00229,trace[2],range_expand_same_start,src/agents/apply-patch.ts,105,src/agents/apply-patch.ts,105-110,neighborhood_pm5,idempotent_ok
R2b,entry-00229,trace[4],range_expand_same_start,src/agents/apply-patch.ts,149,src/agents/apply-patch.ts,149-151,neighborhood_pm5,idempotent_ok
R2b,entry-00229,trace[5],range_expand_same_start,src/agents/apply-patch.ts,253,src/agents/apply-patch.ts,253-258,neighborhood_pm5,idempotent_ok
R2b,entry-00248,critical_operation,range_expand_same_start,src/infra/exec-approvals-allowlist.ts,159,src/infra/exec-approvals-allowlist.ts,159-167,whole_file,idempotent_ok
R2b,entry-00248,trace[0],range_expand_same_start,src/node-host/invoke-system-run.ts,304,src/node-host/invoke-system-run.ts,304-308,neighborhood_pm5,idempotent_ok
R2b,entry-00248,trace[1],range_expand_same_start,src/infra/exec-command-resolution.ts,51,src/infra/exec-command-resolution.ts,51-61,whole_file,idempotent_ok
R2b,entry-00248,trace[2],range_expand_same_start,src/infra/exec-command-resolution.ts,121,src/infra/exec-command-resolution.ts,121-122,neighborhood_pm5,idempotent_ok
R2b,entry-00248,trace[4],range_expand_same_start,src/node-host/invoke-system-run.ts,465,src/node-host/invoke-system-run.ts,465-470,neighborhood_pm5,idempotent_ok
R2b,entry-00300,trace[1],range_expand_same_start,src/auto-reply/reply/command-gates.ts,8,src/auto-reply/reply/command-gates.ts,8-14,whole_file,idempotent_ok
R2b,entry-00305,critical_operation,range_expand_same_start,src/agents/tools/session-status-tool.ts,387,src/agents/tools/session-status-tool.ts,387-393,whole_file,idempotent_ok
R2b,entry-00305,trace[0],range_expand_same_start,src/agents/tools/session-status-tool.ts,215,src/agents/tools/session-status-tool.ts,215-217,neighborhood_pm5,idempotent_ok
R2b,entry-00305,trace[1],range_expand_same_start,src/agents/tools/session-status-tool.ts,227,src/agents/tools/session-status-tool.ts,227-231,neighborhood_pm5,idempotent_ok
R2b,entry-00305,trace[2],range_expand_same_start,src/agents/tools/session-status-tool.ts,357,src/agents/tools/session-status-tool.ts,357-362,neighborhood_pm5,idempotent_ok
R2b,entry-00305,trace[3],range_expand_same_start,src/agents/tools/session-status-tool.ts,387,src/agents/tools/session-status-tool.ts,387-393,whole_file,idempotent_ok
R2b,entry-00311,trace[0],range_expand_same_start,src/fastmcp/server/auth/auth.py,131,src/fastmcp/server/auth/auth.py,131-134,neighborhood_pm5,idempotent_ok
R2b,entry-00314,critical_operation,range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,139,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,139-141,neighborhood_pm5,idempotent_ok
R2b,entry-00314,trace[3],range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,130,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,130-133,neighborhood_pm5,idempotent_ok
R2b,entry-00314,trace[4],range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,134,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,134-137,neighborhood_pm5,idempotent_ok
R2b,entry-00314,trace[5],range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,142,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,142-143,neighborhood_pm5,idempotent_ok
R2b,entry-00315,critical_operation,range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111-113,neighborhood_pm5,idempotent_ok
R2b,entry-00315,trace[4],range_expand_same_start,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111,airflow-core/src/airflow/api_fastapi/execution_api/routes/hitl.py,111-113,neighborhood_pm5,idempotent_ok
R2b,entry-00371,critical_operation,range_expand_same_start,src/infra/device-pairing.ts,346,src/infra/device-pairing.ts,346-354,whole_file,idempotent_ok
R2b,entry-00371,trace[4],range_expand_same_start,src/infra/device-pairing.ts,336,src/infra/device-pairing.ts,336-344,whole_file,idempotent_ok
R2b,entry-00371,trace[5],range_expand_same_start,src/infra/device-pairing.ts,346,src/infra/device-pairing.ts,346-354,whole_file,idempotent_ok
R2b,entry-00400,critical_operation,range_expand_same_start,src/auto-reply/reply/session.ts,254,src/auto-reply/reply/session.ts,254-258,neighborhood_pm5,idempotent_ok
R2b,entry-00401,critical_operation,range_expand_same_start,backend/open_webui/routers/tools.py,652,backend/open_webui/routers/tools.py,652-653,neighborhood_pm5,idempotent_ok
R2b,entry-00403,critical_operation,range_expand_same_start,src/infra/exec-approvals-allowlist.ts,458,src/infra/exec-approvals-allowlist.ts,458-462,neighborhood_pm5,idempotent_ok
R2b,entry-00403,entry_point,range_expand_same_start,src/node-host/invoke-system-run.ts,619,src/node-host/invoke-system-run.ts,619-621,neighborhood_pm5,idempotent_ok
R2b,entry-00403,trace[0],range_expand_same_start,src/node-host/invoke-system-run.ts,547,src/node-host/invoke-system-run.ts,547-559,whole_file,idempotent_ok
R2b,entry-00403,trace[1],range_expand_same_start,src/node-host/invoke-system-run.ts,559,src/node-host/invoke-system-run.ts,559-564,neighborhood_pm5,idempotent_ok
R2b,entry-00403,trace[2],range_expand_same_start,src/infra/exec-approvals-allowlist.ts,567,src/infra/exec-approvals-allowlist.ts,567-578,whole_file,idempotent_ok
R2b,entry-00403,trace[3],range_expand_same_start,src/infra/exec-approvals-allowlist.ts,520,src/infra/exec-approvals-allowlist.ts,520-529,whole_file,idempotent_ok
R2b,entry-00403,trace[4],range_expand_same_start,src/infra/exec-approvals.ts,364,src/infra/exec-approvals.ts,364-368,neighborhood_pm5,idempotent_ok
R2b,entry-00404,critical_operation,range_expand_same_start,src/infra/exec-approvals-allowlist.ts,458,src/infra/exec-approvals-allowlist.ts,458-462,neighborhood_pm5,idempotent_ok
R2b,entry-00404,entry_point,range_expand_same_start,src/agents/bash-tools.exec-host-gateway.ts,77,src/agents/bash-tools.exec-host-gateway.ts,77-81,neighborhood_pm5,idempotent_ok
R2b,entry-00404,trace[0],range_expand_same_start,src/agents/bash-tools.exec-host-gateway.ts,256,src/agents/bash-tools.exec-host-gateway.ts,256-265,whole_file,idempotent_ok
R2b,entry-00404,trace[1],range_expand_same_start,src/agents/bash-tools.exec-host-gateway.ts,265,src/agents/bash-tools.exec-host-gateway.ts,265-270,neighborhood_pm5,idempotent_ok
R2b,entry-00404,trace[2],range_expand_same_start,src/infra/exec-approvals-allowlist.ts,567,src/infra/exec-approvals-allowlist.ts,567-579,whole_file,idempotent_ok
R2b,entry-00404,trace[3],range_expand_same_start,src/infra/exec-approvals-allowlist.ts,516,src/infra/exec-approvals-allowlist.ts,516-525,whole_file,idempotent_ok
R2b,entry-00404,trace[4],range_expand_same_start,src/infra/exec-approvals-allowlist.ts,454,src/infra/exec-approvals-allowlist.ts,454-462,whole_file,idempotent_ok
R2b,entry-00404,trace[5],range_expand_same_start,src/infra/exec-approvals.ts,525,src/infra/exec-approvals.ts,525-534,whole_file,idempotent_ok
R2b,entry-00411,critical_operation,range_expand_same_start,src/agents/pi-tools.ts,76,src/agents/pi-tools.ts,76-90,whole_file,idempotent_ok
R2b,entry-00412,critical_operation,range_expand_same_start,src/auto-reply/reply/session-system-events.ts,109,src/auto-reply/reply/session-system-events.ts,109-111,neighborhood_pm5,idempotent_ok
