entry_id,field_path,old_file,old_line,new_file,new_line,status,reason,strategy
entry-00082,trace[1],packages/workflow/src/expression.ts,205,,,needs_human,degenerate_snippet,
entry-00103,entry_point,packages/cli/src/webhooks/webhook-helpers.ts,615,,,needs_human,degenerate_snippet,
entry-00103,trace[0],packages/cli/src/webhooks/webhook-helpers.ts,615,,,needs_human,degenerate_snippet,
entry-00142,critical_operation,extensions/twitch/src/access-control.ts,68,,,needs_human,degenerate_snippet,
entry-00142,trace[3],extensions/twitch/src/access-control.ts,68,,,needs_human,degenerate_snippet,
entry-00164,trace[0],src/browser/routes/basic.ts,7,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00185,critical_operation,packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,,,needs_human,degenerate_snippet,
entry-00185,trace[3],packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,,,needs_human,degenerate_snippet,
entry-00191,trace[1],packages/nodes-base/nodes/Form/utils/utils.ts,135,,,needs_human,degenerate_snippet,
entry-00191,trace[2],packages/nodes-base/nodes/Form/utils/utils.ts,139,,,needs_human,degenerate_snippet,
entry-00193,entry_point,src/agents/apply-patch.ts,84,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00193,critical_operation,src/infra/fs-safe.ts,225,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00274,trace[3],internal/handler/tenant.go,251,,,needs_human,degenerate_snippet,
entry-00298,entry_point,src/auto-reply/reply/commands-config.ts,126,,,needs_human,degenerate_snippet,
entry-00298,trace[0],src/auto-reply/reply/commands-config.ts,134,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00300,entry_point,src/auto-reply/reply/commands-config.ts,126,,,needs_human,degenerate_snippet,
entry-00301,entry_point,src/agents/sandbox/fs-bridge.ts,103,,,needs_human,degenerate_snippet,
entry-00301,trace[0],src/agents/sandbox/fs-bridge.ts,103,,,needs_human,degenerate_snippet,
entry-00311,entry_point,src/fastmcp/server/auth/oauth_proxy.py,625,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00311,critical_operation,src/fastmcp/server/auth/oauth_proxy.py,808,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00311,trace[1],src/fastmcp/server/auth/oauth_proxy.py,1635,,,needs_human,no_unique_match_in_file_or_missing_file,
entry-00312,trace[2],src/infra/device-bootstrap.ts,117,,,needs_human,degenerate_snippet,
entry-00328,trace[1],src/gateway/auth.ts,261,,,needs_human,degenerate_snippet,
entry-00361,trace[1],packages/nodes-base/nodes/Xml/Xml.node.ts,250,,,needs_human,degenerate_snippet,
