entry_id,field,change_kind,before_file,before_line,before_code,after_file,after_line,after_code,reason
entry-00099,entry_point,position_or_code,packages/cli/src/workflows/workflows.controller.ts,539,	@Post('/:workflowId/run'),packages/cli/src/workflows/workflows.controller.ts,561-565,"		return await this.workflowExecutionService.executeManually(
			req.body,
			req.user,
			req.headers['push-ref'],
		);",decorator→executeManually(req.body) so external input enters chain
entry-00099,critical_operation,position_or_code,packages/workflow/src/expression-sandboxing.ts,244,"export const PrototypeSanitizer: ASTAfterHook = (ast, dataNode) => {",packages/workflow/src/expression-evaluator-proxy.ts,19-21,"export const evaluateExpression: Evaluator = (expr, data) => {
	return evaluator(expr, data);
};",RCE sink evaluateExpression; sanitizer def rejected
entry-00099,trace,trace_rewrite,len=4,,packages/cli/src/workflows/workflows.controller.ts:539; packages/workflow/src/expression.ts:384-393; packages/workflow/src/expression-evaluator-proxy.ts:9-12; packages/workflow/src/expression-sandboxing.ts:244,len=6,,packages/cli/src/workflows/workflows.controller.ts:539; packages/workflow/src/expression.ts:384-393; packages/workflow/src/expression.ts:442-449; packages/workflow/src/expression-evaluator-proxy.ts:9-12,keep gap(visitMemberExpression)/regex; drop brace-only noise
entry-00100,entry_point,desc_only,packages/workflow/src/expression.ts,368,	resolveSimpleParameterValue(,packages/workflow/src/expression.ts,368,	resolveSimpleParameterValue(,unchanged position; desc clarified
entry-00100,critical_operation,position_or_code,packages/workflow/src/expression-sandboxing.ts,330-336,"export const sanitizer = (value: unknown): unknown => {
	const propertyKey = String(value);
	if (!isSafeObjectProperty(propertyKey)) {
		throw new ExpressionErr",packages/workflow/src/expression-evaluator-proxy.ts,19-21,"export const evaluateExpression: Evaluator = (expr, data) => {
	return evaluator(expr, data);
};",sanitizer def→evaluateExpression sink
entry-00100,trace,trace_rewrite,len=5,,packages/workflow/src/expression.ts:368-377; packages/workflow/src/expression.ts:434-438; packages/workflow/src/expression.ts:452-453; packages/workflow/src/expression-sandboxing.ts:11-12,len=5,,packages/workflow/src/expression.ts:434-438; packages/workflow/src/expression.ts:442-449; packages/workflow/src/expression-sandboxing.ts:264-279; packages/workflow/src/expression-sandboxing.ts:330-336,sanitizer def demoted to trace
entry-00103,entry_point,position_or_code,packages/cli/src/webhooks/webhook-helpers.ts,615,		},packages/cli/src/webhooks/webhook-request-handler.ts,146-154,"	private setResponseHeaders(res: express.Response, headers?: WebhookResponseHeaders) {
		if (headers) {
			for (const [name, value] of headers.entries()) {
				",brace `}`→setResponseHeaders
entry-00103,critical_operation,desc_only,packages/core/src/html-sandbox.ts,20,	const contentTypeLower = contentType.toLowerCase();,packages/core/src/html-sandbox.ts,20,	const contentTypeLower = contentType.toLowerCase();,keep missing-trim locus; desc clarified
entry-00103,trace,trace_rewrite,len=4,,packages/cli/src/webhooks/webhook-helpers.ts:615; packages/cli/src/webhooks/webhook-helpers.ts:605-614; packages/cli/src/webhooks/webhook-request-handler.ts:146-155; packages/core/src/html-sandbox.ts:19-25,len=3,,packages/cli/src/webhooks/webhook-request-handler.ts:127-131; packages/cli/src/webhooks/webhook-helpers.ts:606-615; packages/core/src/html-sandbox.ts:19-25,call-site + streaming; no duplicate entry body
entry-00176,entry_point,desc_only,packages/nodes-base/nodes/Code/Code.node.ts,206,"			const code = this.getNodeParameter(codeParameterName, 0) as string;",packages/nodes-base/nodes/Code/Code.node.ts,206,"			const code = this.getNodeParameter(codeParameterName, 0) as string;",unchanged Python getNodeParameter
